GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301062,1610612744,Warriors,GSW,Golden State,240.000000:00,48,89,0.539,11,32,0.344,8,9,0.889,11,39,50,35,7,5,12,19,115,18.0
0022301062,1610612766,Hornets,CHA,Charlotte,240.000000:00,34,84,0.405,12,46,0.261,17,24,0.708,12,29,41,23,4,2,11,10,97,-18.0
0022301063,1610612747,Lakers,LAL,Los Angeles,240.000000:00,35,86,0.407,5,30,0.167,15,18,0.833,10,38,48,24,3,3,16,14,90,-19.0
0022301063,1610612754,Pacers,IND,Indiana,240.000000:00,43,89,0.483,10,31,0.323,13,14,0.929,6,40,46,27,8,6,8,14,109,19.0
0022301064,1610612753,Magic,ORL,Orlando,240.000000:00,38,86,0.442,10,29,0.345,11,15,0.733,13,25,38,20,10,8,14,11,97,-3.0
0022301064,1610612746,Clippers,LAC,LA,240.000000:00,41,85,0.482,8,24,0.333,10,12,0.833,12,29,41,19,11,4,16,17,100,3.0
0022301065,1610612764,Wizards,WAS,Washington,240.000000:00,36,88,0.409,9,33,0.273,6,8,0.75,9,38,47,22,2,4,18,18,87,-9.0
0022301065,1610612765,Pistons,DET,Detroit,240.000000:00,37,89,0.416,6,24,0.25,16,20,0.8,8,39,47,19,9,5,13,18,96,9.0
0022301066,1610612741,Bulls,CHI,Chicago,240.000000:00,38,75,0.507,9,30,0.3,23,29,0.793,5,39,44,24,3,6,12,18,108,-17.0
0022301066,1610612751,Nets,BKN,Brooklyn,240.000000:00,43,91,0.473,25,44,0.568,14,22,0.636,12,31,43,26,9,3,6,22,125,17.0
0022301067,1610612755,76ers,PHI,Philadelphia,240.000000:00,42,94,0.447,16,40,0.4,14,17,0.824,16,26,42,28,6,7,9,20,114,-3.0
0022301067,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,45,82,0.549,16,37,0.432,11,13,0.846,5,32,37,34,4,3,13,17,117,3.0
0022301068,1610612757,Trail Blazers,POR,Portland,240.000000:00,35,87,0.402,5,30,0.167,7,11,0.636,10,33,43,20,4,2,23,19,82,-60.0
0022301068,1610612748,Heat,MIA,Miami,240.000000:00,54,92,0.587,21,39,0.538,13,18,0.722,6,38,44,41,17,4,8,13,142,60.0
0022301069,1610612756,Suns,PHX,Phoenix,240.000000:00,39,87,0.448,13,41,0.317,12,15,0.8,13,26,39,26,6,6,14,15,103,-25.0
0022301069,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,49,87,0.563,16,30,0.533,14,14,1.0,7,31,38,33,7,7,10,13,128,25.0
0022301070,1610612759,Spurs,SAS,San Antonio,265.000000:00,44,82,0.537,16,40,0.4,26,32,0.813,8,38,46,34,3,2,15,16,130,4.0
0022301070,1610612752,Knicks,NYK,New York,265.000000:00,51,110,0.464,14,37,0.378,10,12,0.833,18,32,50,24,10,1,11,24,126,-4.0
0022301071,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,38,74,0.514,9,28,0.321,26,37,0.703,6,33,39,28,6,7,7,20,111,13.0
0022301071,1610612743,Nuggets,DEN,Denver,240.000000:00,35,88,0.398,8,28,0.286,20,27,0.741,13,33,46,29,6,1,12,24,98,-13.0
0022301072,1610612762,Jazz,UTA,Utah,240.000000:00,37,80,0.463,8,31,0.258,18,19,0.947,11,40,51,23,4,9,20,23,100,-1.0
0022301072,1610612745,Rockets,HOU,Houston,240.000000:00,35,91,0.385,13,42,0.31,18,28,0.643,15,30,45,19,10,6,10,18,101,1.0
0022301073,1610612758,Kings,SAC,Sacramento,240.000000:00,40,92,0.435,15,32,0.469,8,12,0.667,10,35,45,24,9,1,10,22,103,-4.0
0022301073,1610612742,Mavericks,DAL,Dallas,240.000000:00,35,74,0.473,15,35,0.429,22,33,0.667,6,36,42,24,4,6,10,12,107,4.0
